Parameter	Minimum	Maximum	Sampling
Prod_CDH1	1.0	100.0	Sobol
Prod_FOXC2	1.0	100.0	Sobol
Prod_GSC	1.0	100.0	Sobol
Prod_KLF8	1.0	100.0	Sobol
Prod_SNAI1	1000.0	100000.0	Sobol
Prod_SNAI2	100.0	10000.0	Sobol
Prod_TCF3	1.0	100.0	Sobol
Prod_TGFbeta	10.0	1000.0	Sobol
Prod_TWIST1	1.0	100.0	Sobol
Prod_TWIST2	1.0	100.0	Sobol
Prod_VIM	1.0	100.0	Sobol
Prod_ZEB1	1000000.0	100000000.0	Sobol
Prod_ZEB2	1000000.0	100000000.0	Sobol
Prod_miR101	1.0	100.0	Sobol
Prod_miR141	1.0	100.0	Sobol
Prod_miR200a	1.0	100.0	Sobol
Prod_miR200b	1.0	100.0	Sobol
Prod_miR200c	1.0	100.0	Sobol
Prod_miR205	1.0	100.0	Sobol
Prod_miR30c	1.0	100.0	Sobol
Prod_miR34a	1.0	100.0	Sobol
Prod_miR9	1.0	100.0	Sobol
Deg_CDH1	0.1	1.0	Sobol
Deg_FOXC2	0.1	1.0	Sobol
Deg_GSC	0.1	1.0	Sobol
Deg_KLF8	0.1	1.0	Sobol
Deg_SNAI1	0.1	1.0	Sobol
Deg_SNAI2	0.1	1.0	Sobol
Deg_TCF3	0.1	1.0	Sobol
Deg_TGFbeta	0.1	1.0	Sobol
Deg_TWIST1	0.1	1.0	Sobol
Deg_TWIST2	0.1	1.0	Sobol
Deg_VIM	0.1	1.0	Sobol
Deg_ZEB1	0.1	1.0	Sobol
Deg_ZEB2	0.1	1.0	Sobol
Deg_miR101	0.1	1.0	Sobol
Deg_miR141	0.1	1.0	Sobol
Deg_miR200a	0.1	1.0	Sobol
Deg_miR200b	0.1	1.0	Sobol
Deg_miR200c	0.1	1.0	Sobol
Deg_miR205	0.1	1.0	Sobol
Deg_miR30c	0.1	1.0	Sobol
Deg_miR34a	0.1	1.0	Sobol
Deg_miR9	0.1	1.0	Sobol
InhFld_KLF8_CDH1	0.01	1.0	Sobol
Thr_KLF8_CDH1	0.527158952369386	52.188736284569224	Sobol
Hill_KLF8_CDH1	1.0	6.0	Sobol
InhFld_SNAI1_CDH1	0.01	1.0	Sobol
Thr_SNAI1_CDH1	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_CDH1	1.0	6.0	Sobol
InhFld_SNAI2_CDH1	0.01	1.0	Sobol
Thr_SNAI2_CDH1	0.0386100408394411	3.822394043104669	Sobol
Hill_SNAI2_CDH1	1.0	6.0	Sobol
InhFld_TCF3_CDH1	0.01	1.0	Sobol
Thr_TCF3_CDH1	0.7205603860393276	71.33547821789344	Sobol
Hill_TCF3_CDH1	1.0	6.0	Sobol
InhFld_TWIST1_CDH1	0.01	1.0	Sobol
Thr_TWIST1_CDH1	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_CDH1	1.0	6.0	Sobol
InhFld_TWIST2_CDH1	0.01	1.0	Sobol
Thr_TWIST2_CDH1	0.1460392789277902	14.45788861385123	Sobol
Hill_TWIST2_CDH1	1.0	6.0	Sobol
InhFld_ZEB1_CDH1	0.01	1.0	Sobol
Thr_ZEB1_CDH1	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_CDH1	1.0	6.0	Sobol
InhFld_ZEB2_CDH1	0.01	1.0	Sobol
Thr_ZEB2_CDH1	0.08365309180655896	8.281656088849337	Sobol
Hill_ZEB2_CDH1	1.0	6.0	Sobol
InhFld_miR9_CDH1	0.01	1.0	Sobol
Thr_miR9_CDH1	1.8486975592613122	183.02105836686988	Sobol
Hill_miR9_CDH1	1.0	6.0	Sobol
ActFld_GSC_FOXC2	1.0	100.0	Sobol
Thr_GSC_FOXC2	0.7343971863075289	72.70532144444536	Sobol
Hill_GSC_FOXC2	1.0	6.0	Sobol
ActFld_SNAI1_FOXC2	1.0	100.0	Sobol
Thr_SNAI1_FOXC2	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_FOXC2	1.0	6.0	Sobol
ActFld_TWIST1_FOXC2	1.0	100.0	Sobol
Thr_TWIST1_FOXC2	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_FOXC2	1.0	6.0	Sobol
ActFld_TGFbeta_GSC	1.0	100.0	Sobol
Thr_TGFbeta_GSC	0.07099201287904489	7.028209275025443	Sobol
Hill_TGFbeta_GSC	1.0	6.0	Sobol
InhFld_miR101_KLF8	0.01	1.0	Sobol
Thr_miR101_KLF8	0.11424327191213696	11.310083919301558	Sobol
Hill_miR101_KLF8	1.0	6.0	Sobol
ActFld_GSC_SNAI1	1.0	100.0	Sobol
Thr_GSC_SNAI1	0.7343971863075289	72.70532144444536	Sobol
Hill_GSC_SNAI1	1.0	6.0	Sobol
InhFld_SNAI1_SNAI1	0.01	1.0	Sobol
Thr_SNAI1_SNAI1	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_SNAI1	1.0	6.0	Sobol
ActFld_TGFbeta_SNAI1	1.0	100.0	Sobol
Thr_TGFbeta_SNAI1	0.07099201287904489	7.028209275025443	Sobol
Hill_TGFbeta_SNAI1	1.0	6.0	Sobol
ActFld_TWIST1_SNAI1	1.0	100.0	Sobol
Thr_TWIST1_SNAI1	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_SNAI1	1.0	6.0	Sobol
ActFld_TWIST2_SNAI1	1.0	100.0	Sobol
Thr_TWIST2_SNAI1	0.1460392789277902	14.45788861385123	Sobol
Hill_TWIST2_SNAI1	1.0	6.0	Sobol
InhFld_miR101_SNAI1	0.01	1.0	Sobol
Thr_miR101_SNAI1	0.11424327191213696	11.310083919301558	Sobol
Hill_miR101_SNAI1	1.0	6.0	Sobol
InhFld_miR30c_SNAI1	0.01	1.0	Sobol
Thr_miR30c_SNAI1	1.808589233181362	179.05033408495484	Sobol
Hill_miR30c_SNAI1	1.0	6.0	Sobol
InhFld_miR34a_SNAI1	0.01	1.0	Sobol
Thr_miR34a_SNAI1	0.11883926343612401	11.765087080176277	Sobol
Hill_miR34a_SNAI1	1.0	6.0	Sobol
ActFld_SNAI1_SNAI2	1.0	100.0	Sobol
Thr_SNAI1_SNAI2	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_SNAI2	1.0	6.0	Sobol
ActFld_SNAI2_SNAI2	1.0	100.0	Sobol
Thr_SNAI2_SNAI2	0.0386100408394411	3.822394043104669	Sobol
Hill_SNAI2_SNAI2	1.0	6.0	Sobol
ActFld_TGFbeta_SNAI2	1.0	100.0	Sobol
Thr_TGFbeta_SNAI2	0.07099201287904489	7.028209275025443	Sobol
Hill_TGFbeta_SNAI2	1.0	6.0	Sobol
ActFld_TWIST1_SNAI2	1.0	100.0	Sobol
Thr_TWIST1_SNAI2	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_SNAI2	1.0	6.0	Sobol
ActFld_TWIST2_SNAI2	1.0	100.0	Sobol
Thr_TWIST2_SNAI2	0.1460392789277902	14.45788861385123	Sobol
Hill_TWIST2_SNAI2	1.0	6.0	Sobol
InhFld_miR30c_SNAI2	0.01	1.0	Sobol
Thr_miR30c_SNAI2	1.808589233181362	179.05033408495484	Sobol
Hill_miR30c_SNAI2	1.0	6.0	Sobol
InhFld_miR34a_SNAI2	0.01	1.0	Sobol
Thr_miR34a_SNAI2	0.11883926343612401	11.765087080176277	Sobol
Hill_miR34a_SNAI2	1.0	6.0	Sobol
ActFld_TWIST1_TCF3	1.0	100.0	Sobol
Thr_TWIST1_TCF3	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_TCF3	1.0	6.0	Sobol
InhFld_miR141_TGFbeta	0.01	1.0	Sobol
Thr_miR141_TGFbeta	0.5300801392618216	52.47793378692034	Sobol
Hill_miR141_TGFbeta	1.0	6.0	Sobol
InhFld_miR200a_TGFbeta	0.01	1.0	Sobol
Thr_miR200a_TGFbeta	0.1265574126178895	12.52918384917106	Sobol
Hill_miR200a_TGFbeta	1.0	6.0	Sobol
InhFld_miR200b_TGFbeta	0.01	1.0	Sobol
Thr_miR200b_TGFbeta	0.029390657824474566	2.9096751246229817	Sobol
Hill_miR200b_TGFbeta	1.0	6.0	Sobol
InhFld_miR200c_TGFbeta	0.01	1.0	Sobol
Thr_miR200c_TGFbeta	0.11037106948718695	10.926735879231508	Sobol
Hill_miR200c_TGFbeta	1.0	6.0	Sobol
ActFld_GSC_TWIST1	1.0	100.0	Sobol
Thr_GSC_TWIST1	0.7343971863075289	72.70532144444536	Sobol
Hill_GSC_TWIST1	1.0	6.0	Sobol
ActFld_SNAI1_TWIST1	1.0	100.0	Sobol
Thr_SNAI1_TWIST1	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_TWIST1	1.0	6.0	Sobol
ActFld_TWIST2_TWIST1	1.0	100.0	Sobol
Thr_TWIST2_TWIST1	0.1460392789277902	14.45788861385123	Sobol
Hill_TWIST2_TWIST1	1.0	6.0	Sobol
ActFld_SNAI2_TWIST2	1.0	100.0	Sobol
Thr_SNAI2_TWIST2	0.0386100408394411	3.822394043104669	Sobol
Hill_SNAI2_TWIST2	1.0	6.0	Sobol
InhFld_miR34a_TWIST2	0.01	1.0	Sobol
Thr_miR34a_TWIST2	0.11883926343612401	11.765087080176277	Sobol
Hill_miR34a_TWIST2	1.0	6.0	Sobol
ActFld_SNAI1_VIM	1.0	100.0	Sobol
Thr_SNAI1_VIM	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_VIM	1.0	6.0	Sobol
ActFld_SNAI2_VIM	1.0	100.0	Sobol
Thr_SNAI2_VIM	0.0386100408394411	3.822394043104669	Sobol
Hill_SNAI2_VIM	1.0	6.0	Sobol
ActFld_TWIST1_VIM	1.0	100.0	Sobol
Thr_TWIST1_VIM	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_VIM	1.0	6.0	Sobol
ActFld_ZEB1_VIM	1.0	100.0	Sobol
Thr_ZEB1_VIM	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_VIM	1.0	6.0	Sobol
ActFld_ZEB2_VIM	1.0	100.0	Sobol
Thr_ZEB2_VIM	0.08365309180655896	8.281656088849337	Sobol
Hill_ZEB2_VIM	1.0	6.0	Sobol
ActFld_FOXC2_ZEB1	1.0	100.0	Sobol
Thr_FOXC2_ZEB1	0.06151205589127793	6.089693533236515	Sobol
Hill_FOXC2_ZEB1	1.0	6.0	Sobol
ActFld_GSC_ZEB1	1.0	100.0	Sobol
Thr_GSC_ZEB1	0.7343971863075289	72.70532144444536	Sobol
Hill_GSC_ZEB1	1.0	6.0	Sobol
ActFld_SNAI1_ZEB1	1.0	100.0	Sobol
Thr_SNAI1_ZEB1	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_ZEB1	1.0	6.0	Sobol
ActFld_TWIST1_ZEB1	1.0	100.0	Sobol
Thr_TWIST1_ZEB1	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_ZEB1	1.0	6.0	Sobol
ActFld_TWIST2_ZEB1	1.0	100.0	Sobol
Thr_TWIST2_ZEB1	0.1460392789277902	14.45788861385123	Sobol
Hill_TWIST2_ZEB1	1.0	6.0	Sobol
ActFld_ZEB1_ZEB1	1.0	100.0	Sobol
Thr_ZEB1_ZEB1	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_ZEB1	1.0	6.0	Sobol
InhFld_miR101_ZEB1	0.01	1.0	Sobol
Thr_miR101_ZEB1	0.11424327191213696	11.310083919301558	Sobol
Hill_miR101_ZEB1	1.0	6.0	Sobol
InhFld_miR141_ZEB1	0.01	1.0	Sobol
Thr_miR141_ZEB1	0.5300801392618216	52.47793378692034	Sobol
Hill_miR141_ZEB1	1.0	6.0	Sobol
InhFld_miR200a_ZEB1	0.01	1.0	Sobol
Thr_miR200a_ZEB1	0.1265574126178895	12.52918384917106	Sobol
Hill_miR200a_ZEB1	1.0	6.0	Sobol
InhFld_miR200b_ZEB1	0.01	1.0	Sobol
Thr_miR200b_ZEB1	0.029390657824474566	2.9096751246229817	Sobol
Hill_miR200b_ZEB1	1.0	6.0	Sobol
InhFld_miR200c_ZEB1	0.01	1.0	Sobol
Thr_miR200c_ZEB1	0.11037106948718695	10.926735879231508	Sobol
Hill_miR200c_ZEB1	1.0	6.0	Sobol
InhFld_miR205_ZEB1	0.01	1.0	Sobol
Thr_miR205_ZEB1	1.8714431199307493	185.27286887314418	Sobol
Hill_miR205_ZEB1	1.0	6.0	Sobol
InhFld_miR34a_ZEB1	0.01	1.0	Sobol
Thr_miR34a_ZEB1	0.11883926343612401	11.765087080176277	Sobol
Hill_miR34a_ZEB1	1.0	6.0	Sobol
ActFld_GSC_ZEB2	1.0	100.0	Sobol
Thr_GSC_ZEB2	0.7343971863075289	72.70532144444536	Sobol
Hill_GSC_ZEB2	1.0	6.0	Sobol
ActFld_SNAI1_ZEB2	1.0	100.0	Sobol
Thr_SNAI1_ZEB2	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_ZEB2	1.0	6.0	Sobol
ActFld_TWIST1_ZEB2	1.0	100.0	Sobol
Thr_TWIST1_ZEB2	0.06007279260677788	5.947206468071009	Sobol
Hill_TWIST1_ZEB2	1.0	6.0	Sobol
ActFld_TWIST2_ZEB2	1.0	100.0	Sobol
Thr_TWIST2_ZEB2	0.1460392789277902	14.45788861385123	Sobol
Hill_TWIST2_ZEB2	1.0	6.0	Sobol
ActFld_ZEB2_ZEB2	1.0	100.0	Sobol
Thr_ZEB2_ZEB2	0.08365309180655896	8.281656088849337	Sobol
Hill_ZEB2_ZEB2	1.0	6.0	Sobol
InhFld_miR101_ZEB2	0.01	1.0	Sobol
Thr_miR101_ZEB2	0.11424327191213696	11.310083919301558	Sobol
Hill_miR101_ZEB2	1.0	6.0	Sobol
InhFld_miR141_ZEB2	0.01	1.0	Sobol
Thr_miR141_ZEB2	0.5300801392618216	52.47793378692034	Sobol
Hill_miR141_ZEB2	1.0	6.0	Sobol
InhFld_miR200a_ZEB2	0.01	1.0	Sobol
Thr_miR200a_ZEB2	0.1265574126178895	12.52918384917106	Sobol
Hill_miR200a_ZEB2	1.0	6.0	Sobol
InhFld_miR200b_ZEB2	0.01	1.0	Sobol
Thr_miR200b_ZEB2	0.029390657824474566	2.9096751246229817	Sobol
Hill_miR200b_ZEB2	1.0	6.0	Sobol
InhFld_miR200c_ZEB2	0.01	1.0	Sobol
Thr_miR200c_ZEB2	0.11037106948718695	10.926735879231508	Sobol
Hill_miR200c_ZEB2	1.0	6.0	Sobol
InhFld_miR205_ZEB2	0.01	1.0	Sobol
Thr_miR205_ZEB2	1.8714431199307493	185.27286887314418	Sobol
Hill_miR205_ZEB2	1.0	6.0	Sobol
InhFld_miR30c_ZEB2	0.01	1.0	Sobol
Thr_miR30c_ZEB2	1.808589233181362	179.05033408495484	Sobol
Hill_miR30c_ZEB2	1.0	6.0	Sobol
InhFld_miR9_ZEB2	0.01	1.0	Sobol
Thr_miR9_ZEB2	1.8486975592613122	183.02105836686988	Sobol
Hill_miR9_ZEB2	1.0	6.0	Sobol
InhFld_SNAI1_miR101	0.01	1.0	Sobol
Thr_SNAI1_miR101	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_miR101	1.0	6.0	Sobol
InhFld_SNAI2_miR101	0.01	1.0	Sobol
Thr_SNAI2_miR101	0.0386100408394411	3.822394043104669	Sobol
Hill_SNAI2_miR101	1.0	6.0	Sobol
InhFld_ZEB1_miR141	0.01	1.0	Sobol
Thr_ZEB1_miR141	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_miR141	1.0	6.0	Sobol
