Parameter	Minimum	Maximum	Sampling
Prod_CDH1	1.0	100.0	Sobol
Prod_FOXC2	1.0	100.0	Sobol
Prod_GSC	1.0	100.0	Sobol
Prod_KLF8	1.0	100.0	Sobol
Prod_SNAI1	1000.0	100000.0	Sobol
Prod_SNAI2	100.0	10000.0	Sobol
Prod_TCF3	1.0	100.0	Sobol
Prod_TGFbeta	10.0	1000.0	Sobol
Prod_TWIST1	1.0	100.0	Sobol
Prod_TWIST2	1.0	100.0	Sobol
Prod_VIM	1.0	100.0	Sobol
Prod_ZEB1	100000.0	10000000.0	Sobol
Prod_ZEB2	1000000.0	100000000.0	Sobol
Prod_miR101	1.0	100.0	Sobol
Prod_miR141	1.0	100.0	Sobol
Prod_miR200a	1.0	100.0	Sobol
Prod_miR200b	1.0	100.0	Sobol
Prod_miR200c	1.0	100.0	Sobol
Prod_miR205	1.0	100.0	Sobol
Prod_miR30c	1.0	100.0	Sobol
Prod_miR34a	1.0	100.0	Sobol
Prod_miR9	1.0	100.0	Sobol
Deg_CDH1	0.1	1.0	Sobol
Deg_FOXC2	0.1	1.0	Sobol
Deg_GSC	0.1	1.0	Sobol
Deg_KLF8	0.1	1.0	Sobol
Deg_SNAI1	0.1	1.0	Sobol
Deg_SNAI2	0.1	1.0	Sobol
Deg_TCF3	0.1	1.0	Sobol
Deg_TGFbeta	0.1	1.0	Sobol
Deg_TWIST1	0.1	1.0	Sobol
Deg_TWIST2	0.1	1.0	Sobol
Deg_VIM	0.1	1.0	Sobol
Deg_ZEB1	0.1	1.0	Sobol
Deg_ZEB2	0.1	1.0	Sobol
Deg_miR101	0.1	1.0	Sobol
Deg_miR141	0.1	1.0	Sobol
Deg_miR200a	0.1	1.0	Sobol
Deg_miR200b	0.1	1.0	Sobol
Deg_miR200c	0.1	1.0	Sobol
Deg_miR205	0.1	1.0	Sobol
Deg_miR30c	0.1	1.0	Sobol
Deg_miR34a	0.1	1.0	Sobol
Deg_miR9	0.1	1.0	Sobol
InhFld_KLF8_CDH1	0.01	1.0	Sobol
Thr_KLF8_CDH1	0.54724732529192	54.177485203900076	Sobol
Hill_KLF8_CDH1	1.0	6.0	Sobol
InhFld_SNAI1_CDH1	0.01	1.0	Sobol
Thr_SNAI1_CDH1	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_CDH1	1.0	6.0	Sobol
InhFld_SNAI2_CDH1	0.01	1.0	Sobol
Thr_SNAI2_CDH1	0.03846888451613643	3.808419567097506	Sobol
Hill_SNAI2_CDH1	1.0	6.0	Sobol
InhFld_TCF3_CDH1	0.01	1.0	Sobol
Thr_TCF3_CDH1	0.7223763652805808	71.5152601627775	Sobol
Hill_TCF3_CDH1	1.0	6.0	Sobol
InhFld_TWIST1_CDH1	0.01	1.0	Sobol
Thr_TWIST1_CDH1	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_CDH1	1.0	6.0	Sobol
InhFld_TWIST2_CDH1	0.01	1.0	Sobol
Thr_TWIST2_CDH1	0.15753598600237737	15.596062614235358	Sobol
Hill_TWIST2_CDH1	1.0	6.0	Sobol
InhFld_ZEB1_CDH1	0.01	1.0	Sobol
Thr_ZEB1_CDH1	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_CDH1	1.0	6.0	Sobol
InhFld_ZEB2_CDH1	0.01	1.0	Sobol
Thr_ZEB2_CDH1	0.07933185882132468	7.853854023311143	Sobol
Hill_ZEB2_CDH1	1.0	6.0	Sobol
InhFld_miR9_CDH1	0.01	1.0	Sobol
Thr_miR9_CDH1	1.8447335846044326	182.62862487583882	Sobol
Hill_miR9_CDH1	1.0	6.0	Sobol
ActFld_GSC_FOXC2	1.0	100.0	Sobol
Thr_GSC_FOXC2	0.7153333323020072	70.81799989789872	Sobol
Hill_GSC_FOXC2	1.0	6.0	Sobol
ActFld_SNAI1_FOXC2	1.0	100.0	Sobol
Thr_SNAI1_FOXC2	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_FOXC2	1.0	6.0	Sobol
ActFld_TWIST1_FOXC2	1.0	100.0	Sobol
Thr_TWIST1_FOXC2	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_FOXC2	1.0	6.0	Sobol
ActFld_TGFbeta_GSC	1.0	100.0	Sobol
Thr_TGFbeta_GSC	0.0644962038140113	6.3851241775871195	Sobol
Hill_TGFbeta_GSC	1.0	6.0	Sobol
InhFld_miR101_KLF8	0.01	1.0	Sobol
Thr_miR101_KLF8	0.11813442754543706	11.69530832699827	Sobol
Hill_miR101_KLF8	1.0	6.0	Sobol
ActFld_GSC_SNAI1	1.0	100.0	Sobol
Thr_GSC_SNAI1	0.7153333323020072	70.81799989789872	Sobol
Hill_GSC_SNAI1	1.0	6.0	Sobol
InhFld_SNAI1_SNAI1	0.01	1.0	Sobol
Thr_SNAI1_SNAI1	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_SNAI1	1.0	6.0	Sobol
ActFld_TGFbeta_SNAI1	1.0	100.0	Sobol
Thr_TGFbeta_SNAI1	0.0644962038140113	6.3851241775871195	Sobol
Hill_TGFbeta_SNAI1	1.0	6.0	Sobol
ActFld_TWIST1_SNAI1	1.0	100.0	Sobol
Thr_TWIST1_SNAI1	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_SNAI1	1.0	6.0	Sobol
ActFld_TWIST2_SNAI1	1.0	100.0	Sobol
Thr_TWIST2_SNAI1	0.15753598600237737	15.596062614235358	Sobol
Hill_TWIST2_SNAI1	1.0	6.0	Sobol
InhFld_miR101_SNAI1	0.01	1.0	Sobol
Thr_miR101_SNAI1	0.11813442754543706	11.69530832699827	Sobol
Hill_miR101_SNAI1	1.0	6.0	Sobol
InhFld_miR30c_SNAI1	0.01	1.0	Sobol
Thr_miR30c_SNAI1	1.82146058296479	180.3245977135142	Sobol
Hill_miR30c_SNAI1	1.0	6.0	Sobol
InhFld_miR34a_SNAI1	0.01	1.0	Sobol
Thr_miR34a_SNAI1	0.10974625155746398	10.864878904188934	Sobol
Hill_miR34a_SNAI1	1.0	6.0	Sobol
ActFld_SNAI1_SNAI2	1.0	100.0	Sobol
Thr_SNAI1_SNAI2	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_SNAI2	1.0	6.0	Sobol
ActFld_SNAI2_SNAI2	1.0	100.0	Sobol
Thr_SNAI2_SNAI2	0.03846888451613643	3.808419567097506	Sobol
Hill_SNAI2_SNAI2	1.0	6.0	Sobol
ActFld_TGFbeta_SNAI2	1.0	100.0	Sobol
Thr_TGFbeta_SNAI2	0.0644962038140113	6.3851241775871195	Sobol
Hill_TGFbeta_SNAI2	1.0	6.0	Sobol
ActFld_TWIST1_SNAI2	1.0	100.0	Sobol
Thr_TWIST1_SNAI2	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_SNAI2	1.0	6.0	Sobol
ActFld_TWIST2_SNAI2	1.0	100.0	Sobol
Thr_TWIST2_SNAI2	0.15753598600237737	15.596062614235358	Sobol
Hill_TWIST2_SNAI2	1.0	6.0	Sobol
InhFld_miR30c_SNAI2	0.01	1.0	Sobol
Thr_miR30c_SNAI2	1.82146058296479	180.3245977135142	Sobol
Hill_miR30c_SNAI2	1.0	6.0	Sobol
InhFld_miR34a_SNAI2	0.01	1.0	Sobol
Thr_miR34a_SNAI2	0.10974625155746398	10.864878904188934	Sobol
Hill_miR34a_SNAI2	1.0	6.0	Sobol
ActFld_TWIST1_TCF3	1.0	100.0	Sobol
Thr_TWIST1_TCF3	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_TCF3	1.0	6.0	Sobol
InhFld_miR141_TGFbeta	0.01	1.0	Sobol
Thr_miR141_TGFbeta	0.5233991480527369	51.816515657220954	Sobol
Hill_miR141_TGFbeta	1.0	6.0	Sobol
InhFld_miR200a_TGFbeta	0.01	1.0	Sobol
Thr_miR200a_TGFbeta	0.11355738568964921	11.242181183275271	Sobol
Hill_miR200a_TGFbeta	1.0	6.0	Sobol
InhFld_miR200b_TGFbeta	0.01	1.0	Sobol
Thr_miR200b_TGFbeta	0.02734118028076485	2.70677684779572	Sobol
Hill_miR200b_TGFbeta	1.0	6.0	Sobol
InhFld_miR200c_TGFbeta	0.01	1.0	Sobol
Thr_miR200c_TGFbeta	0.10997924588678419	10.887945342791635	Sobol
Hill_miR200c_TGFbeta	1.0	6.0	Sobol
ActFld_GSC_TWIST1	1.0	100.0	Sobol
Thr_GSC_TWIST1	0.7153333323020072	70.81799989789872	Sobol
Hill_GSC_TWIST1	1.0	6.0	Sobol
ActFld_SNAI1_TWIST1	1.0	100.0	Sobol
Thr_SNAI1_TWIST1	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_TWIST1	1.0	6.0	Sobol
ActFld_TWIST2_TWIST1	1.0	100.0	Sobol
Thr_TWIST2_TWIST1	0.15753598600237737	15.596062614235358	Sobol
Hill_TWIST2_TWIST1	1.0	6.0	Sobol
ActFld_SNAI2_TWIST2	1.0	100.0	Sobol
Thr_SNAI2_TWIST2	0.03846888451613643	3.808419567097506	Sobol
Hill_SNAI2_TWIST2	1.0	6.0	Sobol
InhFld_miR34a_TWIST2	0.01	1.0	Sobol
Thr_miR34a_TWIST2	0.10974625155746398	10.864878904188934	Sobol
Hill_miR34a_TWIST2	1.0	6.0	Sobol
ActFld_SNAI1_VIM	1.0	100.0	Sobol
Thr_SNAI1_VIM	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_VIM	1.0	6.0	Sobol
ActFld_SNAI2_VIM	1.0	100.0	Sobol
Thr_SNAI2_VIM	0.03846888451613643	3.808419567097506	Sobol
Hill_SNAI2_VIM	1.0	6.0	Sobol
ActFld_TWIST1_VIM	1.0	100.0	Sobol
Thr_TWIST1_VIM	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_VIM	1.0	6.0	Sobol
ActFld_ZEB1_VIM	1.0	100.0	Sobol
Thr_ZEB1_VIM	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_VIM	1.0	6.0	Sobol
ActFld_ZEB2_VIM	1.0	100.0	Sobol
Thr_ZEB2_VIM	0.07933185882132468	7.853854023311143	Sobol
Hill_ZEB2_VIM	1.0	6.0	Sobol
ActFld_FOXC2_ZEB1	1.0	100.0	Sobol
Thr_FOXC2_ZEB1	0.06319253253069826	6.256060720539127	Sobol
Hill_FOXC2_ZEB1	1.0	6.0	Sobol
ActFld_GSC_ZEB1	1.0	100.0	Sobol
Thr_GSC_ZEB1	0.7153333323020072	70.81799989789872	Sobol
Hill_GSC_ZEB1	1.0	6.0	Sobol
ActFld_SNAI1_ZEB1	1.0	100.0	Sobol
Thr_SNAI1_ZEB1	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_ZEB1	1.0	6.0	Sobol
ActFld_TWIST1_ZEB1	1.0	100.0	Sobol
Thr_TWIST1_ZEB1	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_ZEB1	1.0	6.0	Sobol
ActFld_TWIST2_ZEB1	1.0	100.0	Sobol
Thr_TWIST2_ZEB1	0.15753598600237737	15.596062614235358	Sobol
Hill_TWIST2_ZEB1	1.0	6.0	Sobol
ActFld_ZEB1_ZEB1	1.0	100.0	Sobol
Thr_ZEB1_ZEB1	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_ZEB1	1.0	6.0	Sobol
InhFld_miR101_ZEB1	0.01	1.0	Sobol
Thr_miR101_ZEB1	0.11813442754543706	11.69530832699827	Sobol
Hill_miR101_ZEB1	1.0	6.0	Sobol
InhFld_miR141_ZEB1	0.01	1.0	Sobol
Thr_miR141_ZEB1	0.5233991480527369	51.816515657220954	Sobol
Hill_miR141_ZEB1	1.0	6.0	Sobol
InhFld_miR200a_ZEB1	0.01	1.0	Sobol
Thr_miR200a_ZEB1	0.11355738568964921	11.242181183275271	Sobol
Hill_miR200a_ZEB1	1.0	6.0	Sobol
InhFld_miR200b_ZEB1	0.01	1.0	Sobol
Thr_miR200b_ZEB1	0.02734118028076485	2.70677684779572	Sobol
Hill_miR200b_ZEB1	1.0	6.0	Sobol
InhFld_miR200c_ZEB1	0.01	1.0	Sobol
Thr_miR200c_ZEB1	0.10997924588678419	10.887945342791635	Sobol
Hill_miR200c_ZEB1	1.0	6.0	Sobol
InhFld_miR205_ZEB1	0.01	1.0	Sobol
Thr_miR205_ZEB1	1.8534524607507166	183.49179361432093	Sobol
Hill_miR205_ZEB1	1.0	6.0	Sobol
InhFld_miR34a_ZEB1	0.01	1.0	Sobol
Thr_miR34a_ZEB1	0.10974625155746398	10.864878904188934	Sobol
Hill_miR34a_ZEB1	1.0	6.0	Sobol
ActFld_GSC_ZEB2	1.0	100.0	Sobol
Thr_GSC_ZEB2	0.7153333323020072	70.81799989789872	Sobol
Hill_GSC_ZEB2	1.0	6.0	Sobol
ActFld_SNAI1_ZEB2	1.0	100.0	Sobol
Thr_SNAI1_ZEB2	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_ZEB2	1.0	6.0	Sobol
ActFld_TWIST1_ZEB2	1.0	100.0	Sobol
Thr_TWIST1_ZEB2	0.0632425154657008	6.261009031104378	Sobol
Hill_TWIST1_ZEB2	1.0	6.0	Sobol
ActFld_TWIST2_ZEB2	1.0	100.0	Sobol
Thr_TWIST2_ZEB2	0.15753598600237737	15.596062614235358	Sobol
Hill_TWIST2_ZEB2	1.0	6.0	Sobol
ActFld_ZEB2_ZEB2	1.0	100.0	Sobol
Thr_ZEB2_ZEB2	0.07933185882132468	7.853854023311143	Sobol
Hill_ZEB2_ZEB2	1.0	6.0	Sobol
InhFld_miR101_ZEB2	0.01	1.0	Sobol
Thr_miR101_ZEB2	0.11813442754543706	11.69530832699827	Sobol
Hill_miR101_ZEB2	1.0	6.0	Sobol
InhFld_miR141_ZEB2	0.01	1.0	Sobol
Thr_miR141_ZEB2	0.5233991480527369	51.816515657220954	Sobol
Hill_miR141_ZEB2	1.0	6.0	Sobol
InhFld_miR200a_ZEB2	0.01	1.0	Sobol
Thr_miR200a_ZEB2	0.11355738568964921	11.242181183275271	Sobol
Hill_miR200a_ZEB2	1.0	6.0	Sobol
InhFld_miR200b_ZEB2	0.01	1.0	Sobol
Thr_miR200b_ZEB2	0.02734118028076485	2.70677684779572	Sobol
Hill_miR200b_ZEB2	1.0	6.0	Sobol
InhFld_miR200c_ZEB2	0.01	1.0	Sobol
Thr_miR200c_ZEB2	0.10997924588678419	10.887945342791635	Sobol
Hill_miR200c_ZEB2	1.0	6.0	Sobol
InhFld_miR205_ZEB2	0.01	1.0	Sobol
Thr_miR205_ZEB2	1.8534524607507166	183.49179361432093	Sobol
Hill_miR205_ZEB2	1.0	6.0	Sobol
InhFld_miR30c_ZEB2	0.01	1.0	Sobol
Thr_miR30c_ZEB2	1.82146058296479	180.3245977135142	Sobol
Hill_miR30c_ZEB2	1.0	6.0	Sobol
InhFld_miR9_ZEB2	0.01	1.0	Sobol
Thr_miR9_ZEB2	1.8447335846044326	182.62862487583882	Sobol
Hill_miR9_ZEB2	1.0	6.0	Sobol
InhFld_SNAI1_miR101	0.01	1.0	Sobol
Thr_SNAI1_miR101	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_miR101	1.0	6.0	Sobol
InhFld_SNAI2_miR101	0.01	1.0	Sobol
Thr_SNAI2_miR101	0.03846888451613643	3.808419567097506	Sobol
Hill_SNAI2_miR101	1.0	6.0	Sobol
InhFld_ZEB1_miR141	0.01	1.0	Sobol
Thr_ZEB1_miR141	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_miR141	1.0	6.0	Sobol
